,Date,Price,Sentiments
545,2020-01-01,7199.8,0.2
544,2020-01-02,6967.0,0.4
543,2020-01-03,7343.1,0.4
542,2020-01-04,7376.8,0.0
541,2020-01-05,7372.5,0.0
540,2020-01-06,7759.1,0.0
539,2020-01-07,8155.7,0.0
538,2020-01-08,8059.6,0.6000000000000001
537,2020-01-09,7842.4,0.2
536,2020-01-10,8187.1,0.0
535,2020-01-11,8024.1,0.0
534,2020-01-12,8187.6,0.4
533,2020-01-13,8111.4,0.4
532,2020-01-14,8829.2,0.0
531,2020-01-15,8818.3,0.6000000000000001
530,2020-01-16,8726.9,0.8
529,2020-01-17,8913.1,0.0
528,2020-01-18,8916.3,0.4
527,2020-01-19,8706.2,-0.2
526,2020-01-20,8641.9,0.0
525,2020-01-21,8732.6,0.0
524,2020-01-22,8678.5,0.0
523,2020-01-23,8405.1,0.4
522,2020-01-24,8439.9,0.0
521,2020-01-25,8341.6,0.0
520,2020-01-26,8607.8,-0.6000000000000001
519,2020-01-27,8866.6,-0.6000000000000001
518,2020-01-28,9377.3,0.0
517,2020-01-29,9298.9,0.0
516,2020-01-30,9507.3,0.4
515,2020-01-31,9349.1,0.0
514,2020-02-01,9381.6,0.0
513,2020-02-02,9334.9,0.0
512,2020-02-03,9296.6,0.6000000000000001
511,2020-02-04,9193.9,0.4
510,2020-02-05,9611.8,0.0
509,2020-02-06,9772.0,1.0
508,2020-02-07,9818.6,0.0
507,2020-02-08,9895.5,0.6000000000000001
506,2020-02-09,10151.5,0.0
505,2020-02-10,9854.1,0.0
504,2020-02-11,10229.5,0.6000000000000001
503,2020-02-12,10317.7,0.0
502,2020-02-13,10235.1,0.0
501,2020-02-14,10333.0,0.0
500,2020-02-15,9907.7,0.0
499,2020-02-16,9932.3,0.0
498,2020-02-17,9701.4,0.0
497,2020-02-18,10158.4,0.0
496,2020-02-19,9609.4,0.0
495,2020-02-20,9602.4,0.0
494,2020-02-21,9684.5,0.0
493,2020-02-22,9655.7,0.0
492,2020-02-23,9942.7,0.0
491,2020-02-24,9662.7,0.4
490,2020-02-25,9317.2,0.0
489,2020-02-26,8800.3,0.4
488,2020-02-27,8818.6,0.0
487,2020-02-28,8697.5,1.0
486,2020-02-29,8543.7,-0.2
485,2020-03-01,8540.0,0.0
484,2020-03-02,8904.8,0.0
483,2020-03-03,8761.4,0.0
482,2020-03-04,8757.9,0.0
